,PLP.NZ,APA.NZ,ASD.NZ,ASF.NZ,MZY.NZ,ASP.NZ,ASR.NZ,BOT.NZ,EMG.NZ,EMF.NZ,EUG.NZ,EUF.NZ,AGG.NZ,GBF.NZ,ESG.NZ,GGB.NZ,INF.NZ,GPR.NZ,LIV.NZ,JPN.NZ,NZB.NZ,NZC.NZ,DIV.NZ,MDZ.NZ,NPF.NZ,TNZ.NZ,FNZ.NZ,AUS.NZ,NZG.NZ,NGB.NZ,TWH.NZ,TWF.NZ,USH.NZ,USF.NZ,USA.NZ,USG.NZ,USV.NZ,USM.NZ,USS.NZ
0,,1.7753854990005493,1.2112164497375488,4.905498027801514,6.550834655761719,1.0797206163406372,4.105458736419678,3.229020833969116,2.0349490642547607,1.1730942726135254,2.1634137630462646,1.4455007314682007,1.274309754371643,3.1017119884490967,2.0691709518432617,,,,2.981842279434204,1.8364590406417847,2.8667378425598145,2.770700693130493,0.8966599702835083,4.710757732391357,1.173417568206787,2.0153257846832275,2.5947959423065186,2.2336349487304688,2.306986093521118,2.324699878692627,2.418672561645508,2.219992160797119,,8.471851348876953,2.2851014137268066,6.095180511474609,2.8978471755981445,4.884191513061523,4.27016019821167
1,,1.8056793212890625,1.2292208671569824,5.0194783210754395,6.6788129806518555,1.0958611965179443,4.1648149490356445,3.2872443199157715,2.0549464225769043,1.185865044593811,2.230097770690918,1.4683295488357544,1.2835776805877686,3.10542893409729,2.1066877841949463,,,,3.057206392288208,1.875173568725586,2.8685522079467773,2.7697653770446777,0.9033081531524658,4.7196574211120605,1.1786717176437378,2.0246994495391846,2.6019322872161865,2.271793842315674,2.321518659591675,2.324699878692627,2.4490368366241455,2.254490375518799,,8.554139137268066,2.3327488899230957,6.170312881469727,2.9144856929779053,4.930823802947998,4.333643436431885
2,,1.8084332942962646,1.236586570739746,4.995115756988525,6.712879180908203,1.101807713508606,4.222522258758545,3.2643370628356934,2.0597081184387207,1.2059334516525269,2.2186660766601562,1.481113314628601,1.2770901918411255,3.10542893409729,2.0932202339172363,,,,3.054231643676758,1.8831149339675903,2.8649234771728516,2.771636724472046,0.9041391611099243,4.711647987365723,1.1742931604385376,2.032198190689087,2.5939040184020996,2.277118682861328,2.3224270343780518,2.318268060684204,2.4613723754882812,2.2591521739959717,,8.562555313110352,2.323815107345581,6.183627128601074,2.9163341522216797,4.940149784088135,4.338311195373535
3,,1.8258748054504395,1.2472254037857056,5.032529354095459,6.76812219619751,1.0831186771392822,4.316503047943115,3.3235151767730713,2.0958926677703857,1.2095823287963867,2.2377185821533203,1.4783737659454346,1.2780166864395142,3.1082167625427246,2.116307258605957,,,,3.0790224075317383,1.8851003646850586,2.8649234771728516,2.770700693130493,0.9082942008972168,4.73656702041626,1.1795474290847778,2.025636672973633,2.605499744415283,2.2851052284240723,2.326968193054199,2.3072423934936523,2.473707675933838,2.275002956390381,,8.604634284973145,2.3426754474639893,6.212158679962158,2.941291332244873,4.976521968841553,4.398059368133545
4,,1.8185310363769531,1.2439520359039307,4.959442615509033,6.685258865356445,1.0933126211166382,4.246429443359375,3.286290407180786,2.0654211044311523,1.213231086730957,2.199613571166992,1.4884185791015625,1.2752364873886108,3.109145402908325,2.0874483585357666,,,,3.0512566566467285,1.8811296224594116,2.8667378425598145,2.7725729942321777,0.9074631929397583,4.72410774230957,1.1821744441986084,1.9965782165527344,2.5903358459472656,2.2638072967529297,2.302445411682129,2.3155112266540527,2.468963146209717,2.265678882598877,,8.605568885803223,2.3188517093658447,6.241640567779541,2.911712884902954,4.934554100036621,4.366318225860596
5,,1.8368905782699585,1.2635934352874756,5.134327411651611,6.767201900482178,1.104356288909912,4.297540664672852,3.3111073970794678,2.084465980529785,1.195899248123169,2.2177131175994873,1.4938974380493164,1.2780166864395142,3.1119332313537598,2.128812313079834,,,,3.1147212982177734,1.8771589994430542,2.8685522079467773,2.7725729942321777,0.9066321849822998,4.752587795257568,1.1804229021072388,2.004077672958374,2.5956881046295166,2.31616473197937,2.307894468307495,2.3145928382873535,2.469911813735962,2.2843265533447266,,8.729000091552734,2.359550952911377,6.257807731628418,2.9745686054229736,4.990510940551758,4.426066875457764
6,,1.8387266397476196,1.2815978527069092,5.1821818351745605,6.75247049331665,1.115399718284607,4.345355987548828,3.2500197887420654,2.076847791671753,1.2031968832015991,2.231050729751587,1.4948102235794067,1.278943419456482,3.111004114151001,2.1307363510131836,,,,3.057206392288208,1.8960198163986206,2.867645025253296,2.7725729942321777,0.9024769067764282,4.752587795257568,1.1856770515441895,1.990017056465149,2.6046080589294434,2.337463140487671,2.3060781955718994,2.3145928382873535,2.488889217376709,2.3011090755462646,,8.74209213256836,2.3674919605255127,6.233080863952637,3.019861936569214,5.019423007965088,4.4708781242370605
7,,1.8653484582901,1.2685036659240723,5.242217540740967,6.659479141235352,1.1204968690872192,4.258795738220215,3.2872443199157715,2.0835134983062744,1.1968114376068115,2.252960681915283,1.5231178998947144,1.2715293169021606,3.1147210597991943,2.132660150527954,,,,3.059189796447754,1.9208368062973022,2.8685522079467773,2.771636724472046,0.892504870891571,4.671597480773926,1.155903935432434,1.9553346633911133,2.5617921352386475,2.3214893341064453,2.273380756378174,2.3228631019592285,2.4670655727386475,2.3160269260406494,,8.778558731079102,2.3615360260009766,6.222620010375977,3.042045831680298,5.0212883949279785,4.483948230743408
8,,1.8956419229507446,1.26686692237854,5.22220516204834,6.713800430297852,1.122195839881897,4.2695112228393555,3.3225603103637695,2.098749876022339,1.2205287218093872,2.301544427871704,1.5203783512115479,1.2715293169021606,3.1082167625427246,2.160557508468628,,,,3.050265073776245,1.9496245384216309,2.8730878829956055,2.7725729942321777,0.8883499503135681,4.661807537078857,1.1664119958877563,1.9675204753875732,2.5653603076934814,2.3285889625549316,2.2788302898406982,2.326537609100342,2.517355442047119,2.3122973442077637,,8.843080520629883,2.3903231620788574,6.31201696395874,3.049440860748291,5.034344673156738,4.4643425941467285
9,,1.9002317190170288,1.2750507593154907,5.255268096923828,6.839937210083008,1.131540298461914,4.303311347961426,3.395101547241211,2.1130335330963135,1.2223531007766724,2.312976360321045,1.5468595027923584,1.272456169128418,3.1072874069213867,2.16440486907959,,,,3.1008384227752686,1.9774196147918701,2.873995304107666,2.7725729942321777,0.8833637237548828,4.63065767288208,1.1567795276641846,1.9675204753875732,2.543060541152954,2.3525493144989014,2.2670230865478516,2.3302133083343506,2.5145089626312256,2.349592685699463,,8.906664848327637,2.4181177616119385,6.3833441734313965,3.054062843322754,5.0819091796875,4.521291255950928
