,QLD,SSO,UCO,GUSH,UYG,ERX,ROM,NUGT,DDM,CWEB,AGQ,BOIL,JNUG,UGL,UWM,DIG,USD,BRZU,MVV,FBGX,FNGO,EUO,RXL,BIB,URE,DGP,CHAU,SPUU,YCS,UBT,UYM,SMHB,SAA,FIHD,EET,UPW,UST,UXI,ULE,PFFL,UCC,FIEE,YCL,XPP,UJB,UGE,EFO,EZJ,UBR,UPV,LTL
679,80.66000366210938,64.27053833007812,18.5575008392334,69.43257141113281,61.40193557739258,21.175487518310547,55.45500183105469,49.06999969482422,72.5504150390625,235.1999969482422,37.18000030517578,62.599998474121094,60.86000061035156,57.81999969482422,55.349998474121094,13.96861743927002,37.66999816894531,88.69482421875,63.45740509033203,774.75,47.65999984741211,23.979999542236328,103.48870086669922,105.68000030517578,96.76688385009766,37.880001068115234,40.164085388183594,102.05876159667969,38.005001068115234,55.08000183105469,23.42005157470703,10.104634284973145,29.559999465942383,227.1529998779297,96.69000244140625,65.93211364746094,70.02708435058594,32.862083435058594,14.5,17.58769416809082,52.70000076293945,197.71099853515625,52.22999954223633,55.880001068115234,78.81999969482422,23.324888229370117,54.279998779296875,53.5099983215332,29.389999389648438,70.9000015258789,49.46393585205078
680,80.55000305175781,64.5452880859375,19.010000228881836,75.1986312866211,62.40134811401367,22.439403533935547,55.5,50.86000061035156,73.5968017578125,226.60000610351562,37.11000061035156,68.08999633789062,64.94000244140625,58.18000030517578,55.97999954223633,14.797680854797363,38.099998474121094,92.82906341552734,64.19574737548828,771.8159790039062,47.08000183105469,23.969999313354492,102.08076477050781,103.2300033569336,97.56529235839844,38.119998931884766,40.05609130859375,102.52532196044922,38.099998474121094,55.75,23.400171279907227,10.303272247314453,29.940000534057617,228.5709991455078,97.19000244140625,65.77398681640625,70.23701477050781,32.852088928222656,14.539999961853027,17.56947898864746,52.77000045776367,200.16600036621094,52.09000015258789,55.560001373291016,78.94999694824219,23.494487762451172,55.06999969482422,54.91999816894531,30.780000686645508,71.5999984741211,50.06751251220703
681,80.08000183105469,63.87091064453125,18.842500686645508,71.36125183105469,61.04975891113281,21.758832931518555,55.44499969482422,51.43000030517578,72.40092468261719,212.89999389648438,37.459999084472656,71.08999633789062,65.69000244140625,59.0099983215332,54.5,14.345017433166504,38.0099983215332,91.25189971923828,62.81884002685547,769.1430053710938,46.4900016784668,24.040000915527344,101.76123046875,102.72000122070312,97.0263671875,38.66999816894531,38.48526382446289,101.47557067871094,37.834999084472656,57.02000045776367,22.81622314453125,10.182361602783203,29.149999618530273,225.95700073242188,95.5999984741211,65.16131591796875,70.72684478759766,32.22223663330078,14.430000305175781,17.469289779663086,51.724998474121094,198.7519989013672,52.439998626708984,53.189998626708984,79.08000183105469,23.32987403869629,54.66999816894531,54.34000015258789,30.200000762939453,71.36000061035156,49.26604080200195
682,81.26000213623047,64.90995025634766,19.690000534057617,79.83546447753906,62.07772445678711,23.38248062133789,56.404998779296875,51.439998626708984,73.39749145507812,206.10000610351562,37.380001068115234,75.5999984741211,65.72000122070312,58.20000076293945,55.66999816894531,15.425013542175293,38.47999954223633,89.7680435180664,64.19574737548828,780.1220092773438,47.18199920654297,23.989999771118164,103.0693130493164,104.4000015258789,97.68505096435547,38.150001525878906,38.1121940612793,103.05018615722656,37.650001525878906,56.65999984741211,23.5244140625,10.35508918762207,29.770000457763672,226.82000732421875,95.4800033569336,65.11190795898438,70.44693756103516,32.812095642089844,14.529999732971191,17.624128341674805,52.40999984741211,198.7469940185547,52.70000076293945,52.2599983215332,79.19999694824219,23.549358367919922,54.88999938964844,55.310001373291016,29.799999237060547,71.25,49.493614196777344
683,81.41000366210938,64.69015502929688,19.707500457763672,77.65695190429688,61.94447708129883,22.876914978027344,56.525001525878906,47.13999938964844,73.12841796875,205.3000030517578,34.439998626708984,70.95999908447266,60.58000183105469,55.540000915527344,55.58000183105469,15.090435028076172,38.59000015258789,87.080322265625,63.99619674682617,782.52197265625,46.779998779296875,24.1299991607666,102.6099853515625,105.66999816894531,98.95252227783203,36.400001525878906,36.57081604003906,102.78775024414062,37.8849983215332,56.150001525878906,22.947919845581055,10.311907768249512,29.610000610351562,226.04600524902344,93.19999694824219,63.965606689453125,70.0870590209961,32.4721794128418,14.380000114440918,17.715208053588867,52.970001220703125,198.1699981689453,52.36000061035156,50.7400016784668,79.27999877929688,23.437124252319336,54.7599983215332,55.029998779296875,28.81999969482422,71.26000213623047,49.48371887207031
684,79.4800033569336,63.46128845214844,19.399999618530273,76.19794464111328,61.23060989379883,22.51718521118164,54.880001068115234,46.0,72.39095306396484,209.5,32.779998779296875,64.66000366210938,59.56999969482422,55.38999938964844,55.61000061035156,14.834582328796387,37.52000045776367,82.55413055419922,62.98846435546875,767.02099609375,46.62799835205078,24.329999923706055,103.12921905517578,106.80000305175781,97.09622192382812,36.279998779296875,37.00279235839844,100.8243408203125,38.06999969482422,55.599998474121094,21.991241455078125,10.251452445983887,29.670000076293945,221.43099975585938,92.70999908447266,62.07815933227539,69.62721252441406,31.712360382080078,14.289999961853027,17.4783992767334,52.619998931884766,192.43699645996094,52.130001068115234,51.459999084472656,78.88999938964844,23.282487869262695,53.349998474121094,54.189998626708984,27.329999923706055,69.1500015258789,48.899932861328125
685,76.16999816894531,61.333255767822266,18.864999771118164,70.66172790527344,58.974788665771484,21.156042098999023,52.60499954223633,45.65999984741211,69.77993774414062,186.89999389648438,32.369998931884766,61.81999969482422,57.790000915527344,56.189998626708984,53.06999969482422,13.93663501739502,35.529998779296875,77.3653335571289,60.90315246582031,738.1829833984375,43.79999923706055,24.31999969482422,100.77267456054688,102.12999725341797,96.06828308105469,36.86000061035156,34.823272705078125,97.43209838867188,37.67499923706055,56.95000076293945,20.895404815673828,9.949178695678711,28.520000457763672,215.89100646972656,87.63999938964844,61.7520637512207,70.21701049804688,30.942548751831055,14.279999732971191,17.414642333984375,50.5099983215332,185.44700622558594,52.63999938964844,47.06999969482422,78.48999786376953,22.359668731689453,51.31999969482422,52.5099983215332,25.6200008392334,66.2300033569336,47.613609313964844
686,76.31999969482422,61.24333953857422,18.8700008392334,71.09143829345703,58.91768264770508,21.223651885986328,52.935001373291016,45.79999923706055,69.64041900634766,192.89999389648438,33.16999816894531,58.93000030517578,57.689998626708984,56.93000030517578,53.2400016784668,14.037500381469727,35.75,80.5943374633789,60.83330535888672,743.5869750976562,44.16999816894531,24.309999465942383,101.34183502197266,104.41000366210938,96.17806243896484,37.310001373291016,35.461421966552734,97.27658081054688,37.525001525878906,56.86000061035156,20.83576774597168,10.009634017944336,28.469999313354492,217.8249969482422,88.94000244140625,61.55442428588867,70.26699829101562,30.58263397216797,14.25,17.469289779663086,50.439998626708984,191.0709991455078,52.849998474121094,48.0099983215332,78.73999786376953,22.38211441040039,52.41999816894531,53.70000076293945,26.719999313354492,67.76000213623047,47.118873596191406
687,77.77999877929688,62.39163589477539,19.49250030517578,76.36782836914062,60.42692184448242,22.566051483154297,53.959999084472656,45.75,70.9859848022461,204.10000610351562,33.68000030517578,57.36000061035156,57.70000076293945,56.43000030517578,54.869998931884766,14.902673721313477,37.310001373291016,83.13273620605469,62.440223693847656,755.416015625,45.380001068115234,24.450000762939453,101.45368194580078,103.9000015258789,97.81022644042969,36.97999954223633,37.04206466674805,99.1427993774414,37.89500045776367,57.52000045776367,21.26728630065918,10.260089874267578,29.3799991607666,218.99200439453125,91.1500015258789,61.392757415771484,70.33999633789062,31.192487716674805,14.170000076293945,17.687885284423828,51.55500030517578,192.66000366210938,52.310001373291016,49.849998474121094,78.9000015258789,22.737916946411133,52.95000076293945,53.11000061035156,27.649999618530273,69.04000091552734,47.51541519165039
688,79.19999694824219,63.92569351196289,20.137500762939453,83.20316314697266,62.56938552856445,24.124021530151367,55.125,43.970001220703125,73.0790786743164,205.10000610351562,33.34000015258789,64.33999633789062,55.59000015258789,55.130001068115234,56.84000015258789,15.898660659790039,38.5,85.26051330566406,64.28668212890625,770.281005859375,46.29999923706055,24.270000457763672,102.98164367675781,106.98999786376953,97.18054962158203,36.150001525878906,37.20896530151367,101.52416229248047,38.26499938964844,54.95000076293945,21.91182518005371,10.389636993408203,30.3700008392334,223.07000732421875,92.51000213623047,60.777835845947266,69.2699966430664,32.1722526550293,14.3100004196167,17.551265716552734,52.540000915527344,198.33900451660156,51.810001373291016,49.150001525878906,79.12999725341797,23.062280654907227,54.0099983215332,53.400001525878906,28.200000762939453,70.73999786376953,48.87697219848633
