,TQQQ,SOXL,SPXL,UPRO,FAS,TECL,LABU,TNA,FNGU,UDOW,YINN,TMF,URTY,DPST,CURE,DFEN,NAIL,EDC,BNKU,INDL,DRN,RETL,MIDU,WANT,TPOR,UMDD,TYD,DUSL,UTSL,KORU,EURL,PILL,UBOT,MEXX
635,64.57499694824219,41.6987419128418,111.7237777709961,59.58684158325195,107.80443572998047,59.38765335083008,70.45999908447266,93.6563720703125,37.529998779296875,74.9723129272461,318.1877746582031,27.686492919921875,111.5199966430664,40.37946319580078,111.24767303466797,24.50429916381836,75.27999877929688,97.83000183105469,49.61000061035156,50.12013626098633,22.351425170898438,48.89747619628906,62.0,70.43000030517578,40.619998931884766,31.14167594909668,54.31999969482422,44.78243637084961,28.986480712890625,39.752220153808594,36.93401336669922,23.926034927368164,42.384742736816406,81.98709869384766
636,65.38500213623047,43.25608444213867,113.03101348876953,60.2564697265625,110.96404266357422,59.51723098754883,67.73999786376953,93.99613952636719,38.56999969482422,75.84709167480469,315.3949279785156,27.576862335205078,111.9000015258789,40.88492202758789,111.95670318603516,23.915016174316406,74.91000366210938,98.16999816894531,51.75,50.2566032409668,22.95885467529297,49.13457107543945,62.52000045776367,71.81999969482422,40.27000045776367,31.461280822753906,54.09000015258789,44.91227340698242,29.242563247680664,40.645301818847656,37.460933685302734,23.946012496948242,43.24203872680664,82.196044921875
637,65.3499984741211,42.54729080200195,111.86347961425781,59.64181137084961,107.1486587524414,60.3345832824707,63.97999954223633,88.67975616455078,38.70000076293945,75.13135528564453,324.57147216796875,26.889184951782227,105.68000030517578,38.296165466308594,111.66709899902344,22.795381546020508,69.36000061035156,98.51000213623047,50.04999923706055,49.84721755981445,21.914838790893555,46.68989562988281,59.70000076293945,69.44999694824219,39.16999816894531,30.013063430786133,53.68000030517578,43.633907318115234,28.582658767700195,40.327762603759766,36.735172271728516,23.366594314575195,42.178993225097656,77.813232421875
638,65.70500183105469,42.08808135986328,112.20276641845703,59.84669876098633,105.51917266845703,61.68022537231445,58.70000076293945,84.49259948730469,38.650001525878906,75.36994171142578,322.1775817871094,27.84595489501953,100.58999633789062,37.64204025268555,111.12783813476562,22.08824348449707,69.54000091552734,99.72000122070312,49.470001220703125,50.441795349121094,22.465320587158203,44.970455169677734,58.65999984741211,69.0199966430664,39.290000915527344,29.5136775970459,54.43000030517578,43.60395050048828,29.272109985351562,41.13153839111328,36.95389175415039,22.187772750854492,41.02678680419922,81.89104461669922
639,64.34500122070312,39.352752685546875,111.18492126464844,59.242034912109375,106.66180419921875,60.07542419433594,58.630001068115234,83.11353302001953,37.380001068115234,75.68803405761719,329.9577331542969,28.722991943359375,98.95999908447266,38.884883880615234,110.25902557373047,21.81324577331543,69.44999694824219,100.48999786376953,50.439998626708984,50.6562385559082,22.569721221923828,43.03583526611328,58.130001068115234,67.77999877929688,39.34000015258789,29.234024047851562,55.16999816894531,43.87360382080078,30.306285858154297,41.60784912109375,35.820518493652344,20.929035186767578,40.033302307128906,84.64193725585938
640,62.76499938964844,36.697288513183594,108.52055358886719,57.87279510498047,102.53839874267578,58.26129913330078,58.7400016784668,79.94568634033203,35.33000183105469,73.70985412597656,324.37200927734375,28.6332950592041,95.23999786376953,35.39422607421875,110.89814758300781,21.066823959350586,67.87999725341797,97.69999694824219,47.04999923706055,50.003173828125,22.550739288330078,41.131099700927734,55.97999954223633,65.30999755859375,37.689998626708984,28.155349731445312,55.130001068115234,42.735069274902344,31.153324127197266,40.47660827636719,35.0848274230957,20.44951629638672,39.08292770385742,84.9271240234375
641,61.2599983215332,36.77715301513672,103.82048797607422,55.3292121887207,94.16244506835938,55.91888427734375,59.029998779296875,76.44806671142578,34.709999084472656,69.29620361328125,310.40765380859375,30.467100143432617,91.02999877929688,31.56856918334961,107.27310943603516,19.17129898071289,67.08000183105469,92.75,42.7599983215332,49.086936950683594,21.2409725189209,39.78822326660156,53.119998931884766,63.0,35.91999816894531,26.657194137573242,56.58000183105469,40.058509826660156,29.72517967224121,37.67827606201172,32.987091064453125,20.329635620117188,37.456512451171875,77.15570831298828
642,63.279998779296875,38.27459716796875,108.22118377685547,57.692893981933594,100.96853637695312,58.31113815307617,62.709999084472656,83.3233871459961,35.86000061035156,72.55673217773438,305.4203796386719,29.609994888305664,99.26000213623047,34.302024841308594,111.41743469238281,21.44985580444336,72.19999694824219,94.0199966430664,46.060001373291016,49.691261291503906,22.77852439880371,43.866668701171875,57.599998474121094,66.5999984741211,38.040000915527344,28.894439697265625,56.310001373291016,43.3143196105957,30.069902420043945,39.1965217590332,33.45436096191406,21.958003997802734,38.92616653442383,77.03985595703125
643,64.7249984741211,41.77860641479492,110.79573822021484,59.0621337890625,105.97622680664062,60.035552978515625,64.66999816894531,87.80035400390625,36.529998779296875,74.36592864990234,308.8117370605469,28.473831176757812,104.63999938964844,36.42100524902344,111.92674255371094,22.50074005126953,75.68000030517578,95.87000274658203,49.2400016784668,49.84721755981445,22.79750633239746,46.26152801513672,59.720001220703125,68.26000213623047,39.150001525878906,29.973112106323242,55.2400016784668,44.60266876220703,29.07512664794922,38.6904411315918,35.422847747802734,23.6862735748291,40.20280456542969,79.6263656616211
644,66.08499908447266,40.67050552368164,111.50424194335938,59.44691848754883,102.95571899414062,61.36125946044922,61.209999084472656,83.53324890136719,37.08000183105469,74.53492736816406,311.4051208496094,29.23127555847168,99.47000122070312,33.94523620605469,114.27352905273438,21.931100845336914,74.2699966430664,96.4000015258789,46.959999084472656,50.4612922668457,22.218551635742188,44.797115325927734,57.91999816894531,69.29000091552734,38.79999923706055,29.094192504882812,55.709999084472656,44.12328338623047,29.222864151000977,39.603370666503906,35.55208969116211,23.816143035888672,39.964717864990234,81.66527557373047
645,68.27999877929688,41.47911834716797,114.87711334228516,61.24092102050781,103.57173156738281,63.125545501708984,59.400001525878906,84.6524887084961,37.849998474121094,76.04590606689453,288.66314697265625,28.71302604675293,100.81999969482422,34.81145477294922,118.28801727294922,22.107885360717773,80.19000244140625,91.9800033569336,46.84000015258789,50.59775161743164,22.788015365600586,45.880985260009766,59.43000030517578,71.05000305175781,39.59000015258789,29.793333053588867,55.38999938964844,44.61265563964844,30.325984954833984,39.54383087158203,36.526397705078125,24.2357234954834,40.1116828918457,81.90589904785156
