,0
FNZ.NZ,0.15442732846056167
NZB.NZ,0.016743821525100705
USF.NZ,0.1344954607527137
GBF.NZ,0.03852988589456483
NZC.NZ,-0.00439081873062118
TNZ.NZ,0.1659039569041662
MDZ.NZ,0.11042061972871836
EUF.NZ,0.07428726280487957
MZY.NZ,0.1353060294023403
OZY.NZ,0.07421569746103315
NPF.NZ,0.11760361231693081
EMF.NZ,0.08380008148828832
NZG.NZ,0.24292027762125032
APA.NZ,0.08346168096274016
USG.NZ,0.2008628795090435
DIV.NZ,0.09340956594843008
USM.NZ,0.14997848782349021
USV.NZ,0.05823396439066776
TWF.NZ,0.11818759886893379
USS.NZ,0.1290333777713424
AGG.NZ,0.0006289767841722935
ASP.NZ,0.03833717388428342
USA.NZ,0.13164281549657583
BOT.NZ,0.19732949655075957
EMG.NZ,0.09339985767431601
EUG.NZ,0.05178306763064974
NGB.NZ,-0.7645509949817547
LIV.NZ,0.2016614071849314
ASR.NZ,0.11303881517868132
ASD.NZ,0.05828194363070988
ASF.NZ,0.0217014233397975
JPN.NZ,0.08965048973869738
AUS.NZ,0.22095676766138406
TWH.NZ,0.26576845323881015
ESG.NZ,0.10689519883229315
