,0
FNZ.NZ,0.012663262220775885
NZB.NZ,0.0013352357350788755
USF.NZ,0.03196536322702573
GBF.NZ,0.0016431897705681201
NZC.NZ,0.00016945109144491294
TNZ.NZ,0.016645551482250283
MDZ.NZ,0.013917551403613193
EUF.NZ,0.03416435717229813
MZY.NZ,0.03492251006064804
OZY.NZ,0.027000293293945644
NPF.NZ,0.0221258747461651
EMF.NZ,0.03688793407194302
NZG.NZ,0.01570567162085753
APA.NZ,0.020860867545184326
USG.NZ,0.045994281933283136
DIV.NZ,0.014942063343072392
USM.NZ,0.03509157694310544
USV.NZ,0.027449539010124823
TWF.NZ,0.031594064900061655
USS.NZ,0.04668409087231115
AGG.NZ,0.007055011535086947
ASP.NZ,0.041189854993706594
USA.NZ,0.034541153884296724
BOT.NZ,0.03779513488477508
EMG.NZ,0.03592728186724298
EUG.NZ,0.03409516904056873
NGB.NZ,0.0038185518927541994
LIV.NZ,0.046778015594478056
ASR.NZ,0.07305119849783284
ASD.NZ,0.030728623499136187
ASF.NZ,0.033636280970681554
JPN.NZ,0.028177942579070542
AUS.NZ,0.0255519811943515
TWH.NZ,0.0320711433748581
ESG.NZ,0.029613213092293797
